"","AsylumRegion","OriginRegion","Count"
"1","Africa","Africa",25050736
"2","Africa","Asia and the Pacific",6736
"3","Africa","Middle East and North Africa",196493
"4","Americas","Africa",177444
"5","Americas","Americas",5972410.5
"6","Americas","Asia and the Pacific",305874
"7","Americas","Europe",167867
"8","Americas","Middle East and North Africa",85935
"9","Asia and the Pacific","Africa",20474
"10","Asia and the Pacific","Asia and the Pacific",14208912
"11","Asia and the Pacific","Europe",22599
"12","Asia and the Pacific","Middle East and North Africa",1591950
"13","Europe","Africa",1009728
"14","Europe","Americas",163728
"15","Europe","Asia and the Pacific",1140497
"16","Europe","Europe",8870286
"17","Europe","Middle East and North Africa",6155261
"18","Middle East and North Africa","Africa",915478
"19","Middle East and North Africa","Asia and the Pacific",40133
"20","Middle East and North Africa","Europe",18340
"21","Middle East and North Africa","Middle East and North Africa",3687458
